id: 7762 , bb_dists : 96.342090
id: 51919 , bb_dists : 81.145134
id: 41886 , bb_dists : 27.000000
id: 5746 , bb_dists : 95.120193
id: 35243 , bb_dists : 90.725275
id: 61437 , bb_dists : 107.000000
id: 38442 , bb_dists : 83.892857
id: 59482 , bb_dists : 15.771429
id: 59754 , bb_dists : 12.000000
id: 27378 , bb_dists : 11.000000
id: 23174 , bb_dists : 94.302413
id: 53806 , bb_dists : 85.000000
id: 36747 , bb_dists : 93.497326
id: 16816 , bb_dists : 25.000000
id: 4084 , bb_dists : 73.000000
id: 31107 , bb_dists : 21.702128
id: 65372 , bb_dists : 62.000000
id: 22038 , bb_dists : 85.988372
id: 40717 , bb_dists : 14.000000
id: 4722 , bb_dists : 94.325166
id: 47263 , bb_dists : 62.000000
id: 19399 , bb_dists : 100.910891
id: 8165 , bb_dists : 76.000000
id: 31667 , bb_dists : 26.000000
id: 36970 , bb_dists : 95.588438
id: 34188 , bb_dists : 16.216216
id: 32259 , bb_dists : 18.000000
id: 62700 , bb_dists : 94.640330
id: 22342 , bb_dists : 97.395514
id: 18263 , bb_dists : 92.000000
id: 51631 , bb_dists : 95.332918
id: 7829 , bb_dists : 27.000000
id: 19687 , bb_dists : 83.149777
id: 42734 , bb_dists : 21.959536
id: 43033 , bb_dists : 94.325166
id: 43134 , bb_dists : 11.000000
id: 42057 , bb_dists : 102.000000
id: 37210 , bb_dists : 91.000000
id: 18000 , bb_dists : 17.198813
id: 55902 , bb_dists : 81.000000
id: 65323 , bb_dists : 13.000000
id: 51480 , bb_dists : 22.019835
id: 11649 , bb_dists : 96.124039
id: 55566 , bb_dists : 94.325166
id: 50399 , bb_dists : 83.206226
id: 61691 , bb_dists : 21.000000
id: 5973 , bb_dists : 16.864865
id: 60138 , bb_dists : 76.000000
id: 6549 , bb_dists : 18.367347
id: 40605 , bb_dists : 28.000000
id: 17991 , bb_dists : 82.000000
id: 33483 , bb_dists : 93.971627
id: 29187 , bb_dists : 11.000000
id: 19840 , bb_dists : 21.000000
id: 4981 , bb_dists : 15.771429
id: 18279 , bb_dists : 94.325166
id: 24994 , bb_dists : 19.534884
id: 44894 , bb_dists : 16.800000
id: 21462 , bb_dists : 91.728261
id: 42009 , bb_dists : 94.325166
id: 9521 , bb_dists : 88.497175
id: 419 , bb_dists : 89.722222
id: 43737 , bb_dists : 96.907216
id: 18135 , bb_dists : 86.156326
id: 163 , bb_dists : 102.440916
id: 23046 , bb_dists : 82.698795
id: 17623 , bb_dists : 97.908163
id: 50040 , bb_dists : 22.775510
id: 31939 , bb_dists : 11.000000
id: 52399 , bb_dists : 95.332918
id: 2372 , bb_dists : 22.212766
id: 4773 , bb_dists : 16.216216
id: 21894 , bb_dists : 94.116266
id: 12432 , bb_dists : 96.342090
id: 16160 , bb_dists : 90.049592
id: 58026 , bb_dists : 22.000000
id: 47983 , bb_dists : 15.937500
id: 32795 , bb_dists : 91.315231
id: 47416 , bb_dists : 85.497076
id: 51352 , bb_dists : 30.000000
id: 47551 , bb_dists : 11.478261
id: 51391 , bb_dists : 105.105535
id: 11313 , bb_dists : 87.497143
id: 47768 , bb_dists : 90.725275
id: 63948 , bb_dists : 85.076884
id: 1411 , bb_dists : 95.120193
id: 34780 , bb_dists : 76.470588
id: 2980 , bb_dists : 68.000000
id: 36412 , bb_dists : 24.313725
id: 11430 , bb_dists : 67.000000
id: 1011 , bb_dists : 98.358806
id: 56606 , bb_dists : 90.514429
id: 55897 , bb_dists : 19.902439
id: 12352 , bb_dists : 62.995428
id: 25365 , bb_dists : 95.343462
id: 39981 , bb_dists : 15.927655
id: 12278 , bb_dists : 17.591623
id: 20128 , bb_dists : 20.622222
id: 29460 , bb_dists : 78.683544
id: 27285 , bb_dists : 87.086322
id: 8289 , bb_dists : 97.645977
id: 17735 , bb_dists : 83.000000
id: 48728 , bb_dists : 81.000000
id: 46456 , bb_dists : 94.847934
id: 21526 , bb_dists : 77.679487
id: 45880 , bb_dists : 84.497041
id: 35388 , bb_dists : 21.033708
id: 12679 , bb_dists : 19.534884
id: 43273 , bb_dists : 101.000000
id: 24449 , bb_dists : 22.775510
id: 27925 , bb_dists : 91.827243
id: 46184 , bb_dists : 95.343462
id: 21729 , bb_dists : 21.000000
id: 27189 , bb_dists : 95.343462
id: 18736 , bb_dists : 11.000000
id: 44681 , bb_dists : 91.000000
id: 31204 , bb_dists : 85.000000
id: 8737 , bb_dists : 89.782518
id: 9361 , bb_dists : 87.086322
id: 41945 , bb_dists : 98.008466
id: 48568 , bb_dists : 102.000000
id: 48751 , bb_dists : 15.787952
id: 59437 , bb_dists : 89.497207
id: 44782 , bb_dists : 11.000000
id: 31924 , bb_dists : 100.537472
id: 9638 , bb_dists : 15.085714
id: 54185 , bb_dists : 24.000000
id: 62300 , bb_dists : 96.561354
id: 2243 , bb_dists : 86.156326
id: 19815 , bb_dists : 96.342090
id: 36268 , bb_dists : 63.000000
id: 26930 , bb_dists : 17.896750
id: 1651 , bb_dists : 94.116266
id: 32484 , bb_dists : 86.156326
id: 13111 , bb_dists : 23.265306
id: 52255 , bb_dists : 95.801294
id: 16503 , bb_dists : 92.108164
id: 46616 , bb_dists : 79.987500
id: 35643 , bb_dists : 64.661392
id: 13120 , bb_dists : 83.892857
id: 47288 , bb_dists : 87.158406
id: 83 , bb_dists : 88.719101
id: 20886 , bb_dists : 97.418749
id: 35371 , bb_dists : 96.361406
id: 29075 , bb_dists : 17.111111
id: 16535 , bb_dists : 84.072001
id: 32940 , bb_dists : 21.000000
id: 34508 , bb_dists : 77.470968
id: 56222 , bb_dists : 92.497297
id: 3427 , bb_dists : 94.355092
id: 43353 , bb_dists : 96.342090
id: 23014 , bb_dists : 84.152013
id: 55390 , bb_dists : 82.000000
id: 45928 , bb_dists : 96.342090
id: 36284 , bb_dists : 12.000000
id: 21926 , bb_dists : 90.725275
id: 31012 , bb_dists : 85.497076
id: 25605 , bb_dists : 86.778826
id: 53945 , bb_dists : 12.923077
id: 35884 , bb_dists : 16.478873
id: 48879 , bb_dists : 21.758999
id: 29172 , bb_dists : 72.000000
id: 18160 , bb_dists : 73.000000
id: 34236 , bb_dists : 21.000000
id: 35275 , bb_dists : 99.910000
id: 12166 , bb_dists : 19.534884
id: 29332 , bb_dists : 88.090884
id: 68 , bb_dists : 22.212766
id: 63564 , bb_dists : 95.332918
id: 1268 , bb_dists : 71.000000
id: 53710 , bb_dists : 98.909091
id: 52888 , bb_dists : 18.367347
id: 7330 , bb_dists : 90.725275
id: 44953 , bb_dists : 86.469518
id: 53176 , bb_dists : 12.648649
id: 48111 , bb_dists : 24.441444
id: 18592 , bb_dists : 26.000000
id: 38861 , bb_dists : 77.470968
id: 31220 , bb_dists : 97.807207
id: 61531 , bb_dists : 18.871795
id: 15847 , bb_dists : 11.000000
id: 48287 , bb_dists : 27.000000
id: 50591 , bb_dists : 97.351079
id: 58973 , bb_dists : 96.561354
id: 52456 , bb_dists : 76.000000
id: 26405 , bb_dists : 95.343462
id: 28114 , bb_dists : 12.000000
id: 44094 , bb_dists : 23.124706
id: 46111 , bb_dists : 11.000000
id: 2820 , bb_dists : 18.000000
id: 62380 , bb_dists : 88.090884
id: 16256 , bb_dists : 100.955912
id: 30148 , bb_dists : 104.092450
